Rua Marcos de Macedo - Guadalupe| Rio de Janeiro - RJ| Brasil,2016/08/16,15:30:00,Sim,0,1,Não Sabe,0,0,Não Sabe,-22.8398513794,-43.3782882690,1206
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/08/07,16:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9481697083,-43.3626708984,1207
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/08/08,16:20:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9481697083,-43.3626708984,1208
Lapa| Rio de Janeiro - RJ| Brasil,2016/08/12,22:30:00,Não,0,0,Sim,1,0,Não,-22.9144058228,-43.1825904846,1209
Rua Antônio Saraíva - Cavalcanti| Rio de Janeiro - RJ| Brasil,2016/08/16,17:21:00,Sim,2,0,Não,0,0,Não Sabe,-22.8710956573,-43.3164367676,1210
Penha| Rio de Janeiro - RJ| Brasil,2016/08/17,08:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8308544159,-43.2698173523,1211
Penha| Rio de Janeiro - RJ| Brasil,2016/08/16,09:00:00,Sim,1,0,Não Sabe,0,0,Não Sabe,-22.8308544159,-43.2698173523,1212
Estr. da Covanca| 1377-1441 - Tanque| Rio de Janeiro - RJ| 22735-020| Brasil,2016/08/18,06:59:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9150886536,-43.3472328186,1213
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/08/17,22:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8969192505,-43.3516807556,1214
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/08/18,09:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8969192505,-43.3516807556,1215
Rua Panama - Penha| Rio de Janeiro - RJ| Brasil,2016/08/17,09:00:00,Não,0,0,Não,0,0,Não,Polícia,-22.8370227814,-43.2742652893,1216
Vila Rica| Belford Roxo - RJ| Brasil,2016/08/17,22:00:00,Não,0,0,Sim,5,0,Não,-22.7192382812,-43.3633918762,1217
Rua Pedro Álvares Cabral - Centro| Nilópolis - RJ| Brasil,2016/08/18,07:00:00,Sim,1,0,Não,0,0,Não,-22.8104648590,-43.4259452820,1218
Rua Barão - Praça Seca| Rio de Janeiro - RJ| Brasil,2016/08/18,09:00:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.8986415863,-43.3523597717,1219
Penha| Rio de Janeiro - RJ| Brasil,2016/08/18,07:00:00,Não,0,0,Sim,0,1,Sim,-22.8308544159,-43.2698173523,1220
Estrada da Covanca - Tanque| Rio de Janeiro - RJ| Brasil,2016/08/18,08:30:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.9148578644,-43.3481979370,1221
R. Curuira - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/08/18,18:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8576259613,-43.3166427612,1223
Costa Barros| Rio de Janeiro - RJ| Brasil,2016/08/18,09:00:00,Não,0,0,Não,0,0,Sim,Polícia,-22.8246498108,-43.3727264404,1224
Jacarezinho| Rio de Janeiro - RJ| Brasil,2016/08/18,16:00:00,Não Sabe,0,0,Não Sabe,0,0,Não,-22.8875579834,-43.2581939697,1225
Rua Agariba - Engenho Novo| Rio de Janeiro - RJ| Brasil,2016/08/19,03:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9120235443,-43.2653846741,1226
Rua Senador Nabuco - Vila Isabel| Rio de Janeiro - RJ| Brasil,2016/08/19,03:45:25,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9138412476,-43.2526512146,1227
Rua Senador Nabuco - Vila Isabel| Rio de Janeiro - RJ| Brasil,2016/08/18,10:50:47,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9138412476,-43.2526512146,1228
R. Prof. Lara Viléla| 117 - São Domingos| Niterói - RJ| Brasile,2016/08/19,05:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9005851746,-43.1280632019,1229
Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/08/18,18:32:00,Sim,1,0,Sim,1,0,Não Sabe,-22.8593330383,-43.2754745483,1230
Jardim da Viga| Nova Iguaçu - RJ| Brasil,2016/08/18,14:00:00,Sim,1,0,Não,0,0,Não,-22.7414798737,-43.4440116882,1231
Padre Miguel| Rio de Janeiro - RJ| Brasil,2016/08/18,09:00:00,Não,0,0,Sim,1,0,Sim,Polícia,-22.8780975342,-43.4483184814,1232
