LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?,LATITUDE,LONGITUDE
favela do rola - santa cruz,2016/07/05,06:02:00,Não Sabe,0,1,Não Sabe,0,1,Não Sabe,36.9741172791,-122.0307998657
Rua Barão - Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/05,13:44:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.8986415863,-43.3523597717
Estrada da Covanca - Tanque| Rio de Janeiro - RJ| Brasil,2016/07/05,13:48:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.9148578644,-43.3481979370
Rua Arquias Cordeiro - Todos os Santos| Rio de Janeiro - RJ| Brasil,2016/07/03,22:34:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8972244263,-43.2841300964
Santa Cruz| Rio de Janeiro - State of Rio de Janeiro| Brazil,2016/07/05,07:49:00,Não Sabe,0,1,Não Sabe,0,0,Sim,-22.9196510315,-43.6843872070
Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/05,16:32:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8593330383,-43.2754745483
Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/05,16:35:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9196510315,-43.6843872070
Coreia| Mesquita - RJ| Brasil,2016/07/05,18:19:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7764244080,-43.4391937256
Av. Brás de Pina - Vila da Penha| Rio de Janeiro - RJ| Brasil,2016/07/05,18:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8407840729,-43.3039512634
Avenida São Paulo| Mesquita - RJ| Brasil,2016/07/05,18:44:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7698173523,-43.4362068176
Avenida São Paulo| Mesquita - RJ| Brasil,2016/07/05,18:44:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7698173523,-43.4362068176
Morro do Sao Jose - Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/05,18:51:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9069442749,-43.3408317566
Rua Guaiúba - Acari| Rio de Janeiro - RJ| Brasil,2016/07/05,18:55:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8232803345,-43.3455009460
Av. União - Santa Terezinha| Mesquita - RJ| Brasil,2016/07/05,19:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7903957367,-43.4355926514
Avenida Antares - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/05,19:17:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9217586517,-43.6634178162
Travessa Antonio Pereira Martins| Nilópolis - RJ| Brasil,2016/07/05,19:21:00,Não,0,0,Não,0,0,Não Sabe,-22.8088645935,-43.4344482422
Rua Ana Neri próximo ao 1255 - Rocha| Rio de Janeiro - RJ| Brasil,2016/07/05,19:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9008750916,-43.2481269836
Av. Brg. Lima e Silva - Jardim Vinte e Cinco de Agosto| Duque de Caxias - RJ| Brasil,2016/07/04,18:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7925930023,-43.3015022278
Morro Sao Joao - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/05,19:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9077777863,-43.2616653442
Rua Piracambú - Acari| Rio de Janeiro - RJ| Brasil,2016/07/05,20:34:00,Sim,1,0,Não Sabe,0,0,Sim,-22.8246002197,-43.3457946777
Rua Arlíndo Cardoso - Santíssimo| Rio de Janeiro - RJ| Brasil,2016/07/05,19:00:00,Sim,1,0,Não Sabe,0,0,Não Sabe,-22.8819732666,-43.4999809265
Campo Grande| Rio de Janeiro - RJ| Brasil,2016/07/05,20:58:00,Sim,0,0,Não Sabe,0,0,Não Sabe,-22.9035835266,-43.5662422180
Rua Alcobaça - Ricardo de Albuquerque| Rio de Janeiro - RJ| Brasil,2016/07/05,20:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8269805908,-43.3921813965
Rua Araújo Leitão - Engenho Novo| Rio de Janeiro - RJ| Brasil,2016/07/05,20:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9137287140,-43.2714958191
Penha| Rio de Janeiro - RJ| Brasil,2016/07/05,21:56:00,Não,0,0,Não,0,0,Não,-22.8308544159,-43.2698173523
Morro da fe,2016/07/05,22:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-23.9467792511,-46.3517990112
Avenida Professor João Brasil - Venda da Cruz| São Gonçalo - RJ| Brasil,2016/07/05,22:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8636379242,-43.0884628296
Avenida Pastor Martin Luther King Junior - Inhauma| Rio de Janeiro - RJ| Brasil,2016/07/05,22:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8431758881,-43.3312721252
Estrada Nilo Peçanha - Olinda| Nilópolis - RJ| Brasil,2016/07/05,22:34:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8107452393,-43.4047622681
Rua do Desenhista - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/05,22:38:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.8700351715,-43.4775199890
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:38:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:35:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169
Av. Abílio Augusto Távora - Jardim Alvorada| Nova Iguaçu - RJ| Brasil,2016/07/05,22:00:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.7789783478,-43.5349235535
Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/05,22:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8593330383,-43.2754745483
Engenheiro Pedreira| Japeri - RJ| Brasil,2016/07/02,22:52:00,Não Sabe,3,0,Não Sabe,6,1,Sim,-22.6782531738,-43.6063308716
Engenheiro Pedreira| Japeri - RJ| Brasil,2016/07/02,22:52:00,Não Sabe,3,0,Não Sabe,6,1,Sim,-22.6782531738,-43.6063308716
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169
Rua Presidente General Craveiro Lopes - Olinda| Nilópolis - RJ| Brasil,2016/07/05,22:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8192310333,-43.4052658081
Rua Joaquim de Queiroz - Ramos| Rio de Janeiro - RJ| Brasil,2016/07/05,22:39:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169
Baiana - Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/05,23:05:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8587398529,-43.2662849426
Travessa Cesário de Melo - Paciência| Rio de Janeiro - RJ| Brasil,2016/07/05,06:56:00,Sim,0,1,Não,0,0,Sim,-22.9210357666,-43.6410026550
Rua Nair - Tomazinho| São João de Meriti - RJ| Brasil,2016/07/05,23:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7990627289,-43.3934860229
Rua Costa Júnior - Bangu| Rio de Janeiro - RJ| Brasil,2016/06/28,19:45:00,Não,0,0,Não,0,0,Sim,-22.8528232574,-43.4934692383
Rua Conselheiro Galvão - Madureira| Rio de Janeiro - RJ| Brasil,2016/07/06,00:01:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8705863953,-43.3379745483
Rua Figueiredo Camargo próximo ao 1332 - Bangu| Rio de Janeiro - RJ| Brasil,2016/07/05,22:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8712005615,-43.4611129761
Gardênia Azul| Rio de Janeiro - RJ| Brasil,2016/07/06,23:53:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9583225250,-43.3517036438
